title,neighborhoods,price,num_bedrooms,num_bathrooms,url,lat,lon,city,time_posted,alerted,priority_alerted,source,bike_time_minutes,bike_station,bart_bike_time_minutes,bart_station
2BR with Washer & Dryer - Near Campus! Unit #1,,4995,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2br-with-washer-dryer/7933625469.html,37.7831689471201,-122.422562243975,San Francisco,2026-05-11T11:40:05.076167-07:00,False,,craigslist,,,,
Bright 2BR Near Alta Plaza Park & Fillmore Street! Unit #402,,5595,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bright-2br-near-alta/7933626536.html,37.7907606379051,-122.426715042073,San Francisco,2026-05-11T11:40:05.075377-07:00,False,,craigslist,,,,
TMLP 12-mo. | Luxury high-rise with top tear amenities and handcrafted apartment,,4361,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-tmlp-12-mo-luxury-high/7933607011.html,37.778401365307,-122.414338580742,San Francisco,2026-05-11T10:40:05.512839-07:00,False,,craigslist,,,,
"Impeccable 2 BR/1.5 BA with Lounge & Sun Deck, Apply Now",,3593,2,2.0,https://sfbay.craigslist.org/pen/apa/d/san-francisco-impeccable-br-15-ba-with/7933607392.html,37.7072342775777,-122.415895880029,San Francisco,2026-05-11T10:40:05.512213-07:00,False,,craigslist,,,,
TMLP 13-mo. | Luxury high-rise with top tier amenities and handcrafted apartment,,4067,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-tmlp-13-mo-luxury-high/7933609047.html,37.7791152707197,-122.41424289679,San Francisco,2026-05-11T10:40:05.511362-07:00,False,,craigslist,,,,
4430 California St SF (7th Ave) Brand new 1/1 apt.  Close all,,3150,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-4430-california-st-sf-7th/7933598963.html,37.7849514188206,-122.464895803623,San Francisco,2026-05-11T10:20:05.354534-07:00,False,,craigslist,,,,
Charming 2BR/1.5BA,Mission,4100,2,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-charming-2br-15ba/7933571832.html,37.7508993911422,-122.415297712091,San Francisco,2026-05-11T10:00:04.842880-07:00,False,,craigslist,10.0,22nd St,1.0,24th St Mission
"Expansive Windows w/ City Views, Bicycle Parking, EV Charging",,4379,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-expansive-windows-city/7933584429.html,37.7752730157458,-122.415909631016,San Francisco,2026-05-11T09:40:04.671110-07:00,False,,craigslist,,,,
"Bright, large, pet friendly 2BR/2BTH with updated kitchen, laundry in",,5200,2,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bright-large-pet-friendly/7933587444.html,37.7526474853751,-122.444805038538,San Francisco,2026-05-11T09:40:04.668694-07:00,False,,craigslist,,,,
City Oasis Awaits: On-Site Fitness & High-Speed Internet,,4298,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-city-oasis-awaits-on-site/7933581988.html,37.778401365307,-122.414338580742,San Francisco,2026-05-11T09:20:05.017122-07:00,False,,craigslist,,,,
"Spacious, Sunny Bayview 3BR 2BA With Exclusive Backyard Access",,5500,3,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-sunny-bayview/7933564051.html,37.7293263842411,-122.386034465664,San Francisco,2026-05-11T08:20:04.807522-07:00,False,,craigslist,,,,
"Pets Welcome, Gated, Bicycle Parking, Expansive Windows w/ City Views",,4379,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-pets-welcome-gated/7933560496.html,37.7752730157458,-122.415909631016,San Francisco,2026-05-11T08:00:05.447806-07:00,False,,craigslist,,,,
Updated Spacious 2BR/1BA Laundry In Unit Pet Friendly,,4995,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-updated-spacious-2br-1ba/7933555638.html,37.7831689471201,-122.422562243975,San Francisco,2026-05-11T07:40:05.692980-07:00,False,,craigslist,,,,
