source,title,neighborhoods,price,num_bedrooms,num_bathrooms,url,lat,lon,city,time_posted,alerted,bike_time_minutes,bike_station,bart_bike_time_minutes,bart_station,commute_minutes,commute_walk_minutes,commute_headway,transit_score,transit_lines,removed_at
craigslist,"Bright and spacious full 1 bedroom, 1 bathroom apartment",,850,1,1.0,https://www.craigslist.org/view/d/san-francisco-bright-and-spacious-full/k3eFSZ2S7WEzmhgcQXSK26,37.799899314737,-122.434205319329,San Francisco,2026-08-09T12:20:06.113161-07:00,False,,,,,,,,,,2026-08-09T13:01:29.443129-07:00
craigslist,Telegraph Hill - 1Bedroom\1Bathroom Apartment,,1977,1,1.0,https://www.craigslist.org/view/d/san-francisco-telegraph-hill/2QVHcVcvA71XH5A36fUZhV,37.8004149767526,-122.405937300592,San Francisco,2026-08-09T12:00:06.847593-07:00,False,,,,,,,,,,2026-08-09T13:01:29.443129-07:00
craigslist,Remodeled Junior One Bedroom with Shared Yard ~ J.Wavro,Way Out There,3000,1,1.0,https://www.craigslist.org/view/d/san-francisco-remodeled-junior-one/jxxsW9kgLmDifBNTsBFsEm,37.7603824156089,-122.484143174834,San Francisco,2026-08-07T14:40:06.697364-07:00,False,,,,,,,,,,2026-08-09T13:11:25.326016-07:00
craigslist,Remodeled Junior One Bedroom with Shared Yard ~ J.Wavro,Way Out There,3000,1,1.0,https://www.craigslist.org/view/d/san-francisco-remodeled-junior-one/64DtjZ1ZTajrzQ45mWtH4s,37.763419091923,-122.480328421834,San Francisco,2026-08-07T14:20:06.687990-07:00,False,,,,,,,,,,2026-08-09T13:11:25.326016-07:00
craigslist,Remodeled Junior One Bedroom with Shared Yard ~ J.Wavro,Way Out There,3000,1,1.0,https://www.craigslist.org/view/d/san-francisco-remodeled-junior-one/4bWn9iC7fp6L9NuRtw2s4E,37.763419091923,-122.480328421834,San Francisco,2026-08-03T10:02:10.946001-07:00,True,,,,,,,,,,2026-08-09T13:11:25.326016-07:00
craigslist,Spacious 3 Bedroom House,,1400,3,2.0,https://www.craigslist.org/view/d/san-francisco-spacious-bedroom-house/hhxr9FLfXArT8gA12Bexqr,37.7101575082483,-122.42466557204,San Francisco,2026-08-09T13:00:06.248140-07:00,False,,,,,,,,,,2026-08-09T13:21:29.003428-07:00
craigslist,Bright 3 Bed / 1 Bath House,Way Out There,2500,3,1.0,https://www.craigslist.org/view/d/san-francisco-bright-bed-bath-house/3VUtdwGzRe8yRtYQfD7bWM,37.7500559972679,-122.470742264965,San Francisco,2026-08-09T12:20:06.111724-07:00,False,,,,,37.0,24.0,,60.0,"28, 28R, 31, 48, 5R, 6, K, L",2026-08-09T13:21:29.003428-07:00
craigslist,Top-Floor 2BR/2BA SOMA Condo Near BART & Caltrain,,1880,2,2.0,https://www.craigslist.org/view/d/san-francisco-top-floor-2br-2ba-soma/rFyLHWXqoMSqG233nrPMPo,37.7724999000175,-122.414693814574,San Francisco,2026-08-09T11:00:06.043923-07:00,False,,,,,,,,,,2026-08-09T13:21:29.003428-07:00
craigslist,"Spacious Updated Edwardian, 2-Bedroom, 1-Bath, Apartment For Rent",Duboce,4100,2,1.0,https://www.craigslist.org/view/d/san-francisco-spacious-updated/ijHaLJBuyL6smHQM37wQtj,37.7655264306933,-122.433216967132,San Francisco,2026-08-09T07:00:06.415581-07:00,False,,,,,17.0,9.0,,82.0,"49, F, K, L, M",2026-08-09T13:21:29.003428-07:00
craigslist,"2-bedroom, 2-bath single-family apartment",Mission,4000,2,2.0,https://www.craigslist.org/view/d/san-francisco-bedroom-bath-single/3JCdiAyKM5XMSbfsgYMpso,37.7612235176521,-122.420759145793,San Francisco,2026-08-09T03:40:06.440927-07:00,True,,,,,15.0,5.0,,70.0,"49, Yellow-N",2026-08-09T13:21:29.003428-07:00
